ID;Age;Experience;Income;ZIP Code;Family;CCAvg;Education;Mortgage;Personal Loan;Securities Account;CD Account;Online;CreditCard
10;34;9;180;93023;1;8,9;3;0;1;0;0;0;0
17;38;14;130;95010;4;4,7;3;134;1;0;0;0;0
19;46;21;193;91604;2;8,1;3;0;1;0;0;0;0
91;55;30;118;90277;4;5,6;2;0;1;0;0;1;0
132;58;34;149;93720;4;7,2;2;0;1;0;1;1;1
152;26;0;132;92834;3;6,5;3;0;1;0;0;0;1
161;29;0;134;95819;4;6,5;3;0;1;0;0;0;0
175;42;17;168;95503;2;7,9;2;0;1;0;0;1;0
184;29;3;148;92173;3;4,1;1;0;1;0;0;1;0
188;46;21;159;94305;3;1,9;3;315;1;0;0;1;0
210;64;39;172;94707;4;3,1;1;282;1;0;1;1;1
317;57;31;165;95054;1;1,6;2;0;1;0;0;1;0
318;40;16;119;91335;2;4,2;2;0;1;0;0;1;0
401;36;10;179;94542;3;6,6;1;0;1;0;0;1;0
571;49;25;161;94928;3;6,5;2;485;1;1;1;0;0
621;33;8;115;91129;4;2,9;2;0;1;0;0;1;0
651;47;22;122;90037;1;5,1;3;163;1;1;0;0;0
771;26;2;172;94551;2;6,9;2;0;1;0;0;1;0
814;50;25;130;94720;1;1,1;2;0;1;0;0;1;0
915;65;41;195;91711;3;0,4;1;0;1;1;1;0;1
941;61;36;193;94303;1;4,7;3;203;1;0;0;1;0
1008;44;19;99;95064;3;3,5;3;357;1;0;0;0;0
1015;50;26;192;90245;2;1,8;3;301;1;0;1;1;1
1023;27;3;118;95605;1;3,3;2;0;1;0;0;1;0
1025;58;33;122;93711;4;0,2;2;0;1;0;1;1;0
1029;29;4;110;92096;4;2,5;3;0;1;0;0;0;0
1039;56;30;145;95831;4;5,7;2;0;1;0;1;1;1
1040;41;16;175;94304;2;1,1;3;0;1;0;0;1;0
1051;53;27;145;90095;2;6,1;3;294;1;0;1;1;1
1063;47;21;83;92220;1;3,8;1;97;1;0;0;0;0
1065;41;17;138;95008;3;6,9;2;0;1;0;0;1;0
1067;30;5;125;90016;4;0,5;3;0;1;0;1;1;0
1070;44;18;75;91203;2;3,5;1;0;1;0;0;1;0
1078;29;3;175;90095;3;3,3;3;329;1;0;0;1;0
1085;60;35;191;93407;4;5,6;3;0;1;0;0;0;0
1098;50;24;188;92007;3;1,3;1;184;1;0;0;0;1
1106;35;10;182;95051;1;0,3;2;229;1;0;1;1;1
1127;32;8;104;95192;2;3,7;1;0;1;0;0;0;1
1129;30;5;171;94025;2;1,9;2;0;1;0;0;0;0
1130;30;4;73;94305;3;3,3;1;0;1;0;1;1;1
1138;51;26;134;90230;4;4,5;3;0;1;1;1;1;0
1142;32;7;143;91365;3;2,9;3;0;1;0;0;1;0
1144;33;7;120;94022;1;3,2;3;0;1;0;0;1;0
1162;36;11;181;94309;3;1,4;1;0;1;0;0;0;0
1165;41;17;94;90071;3;3,8;2;327;1;1;1;1;0
1167;30;5;112;91711;4;5;2;0;1;0;0;0;1
1177;29;3;103;90049;4;3,4;1;0;1;0;0;1;0
1178;28;3;71;90405;1;3,3;2;149;1;1;1;1;0
1196;32;7;123;92407;2;2,9;2;0;1;0;0;1;0
1205;26;1;190;91604;4;1,3;2;197;1;0;0;1;0
1207;63;37;165;95035;4;5,1;3;0;1;0;0;0;0
1226;30;6;118;94534;2;2,8;2;0;1;0;0;0;0
1238;38;13;169;92093;1;6,8;3;0;1;0;1;1;1
1245;33;8;130;94720;3;6,3;2;99;1;0;0;0;1
1274;60;35;130;95741;3;6,3;3;437;1;0;1;1;1
1286;38;13;113;94720;4;1,7;2;0;1;0;0;0;1
1293;56;30;164;94610;4;0,5;2;234;1;0;1;1;1
1321;31;7;192;90250;1;0;2;0;1;0;0;1;0
1329;60;36;145;95616;4;6,9;1;380;1;0;0;0;1
1338;26;0;179;92028;4;2,1;2;0;1;0;0;0;0
1340;52;25;180;94545;2;9;2;297;1;0;0;1;0
1350;26;2;171;93943;3;6;2;0;1;0;0;1;0
1373;39;13;139;95616;3;3,4;1;483;1;0;0;1;0
1374;60;35;135;92612;3;0,3;3;0;1;0;0;1;0
1376;50;26;179;92612;1;2,9;3;0;1;0;0;0;1
1396;47;23;190;92831;4;0,3;3;305;1;0;0;0;0
1403;55;29;172;95064;1;5,2;2;0;1;0;0;0;0
1406;46;22;183;91605;1;3,1;2;0;1;0;1;1;1
1408;63;39;101;94306;2;3,9;3;294;1;0;0;1;0
1409;40;14;129;90089;1;5,9;3;0;1;0;0;1;0
1412;65;39;184;91302;1;5,4;3;176;1;0;1;1;1
1419;65;41;154;92008;2;4,6;2;0;1;1;1;1;1
1445;60;33;154;90740;1;3;2;0;1;1;1;1;0
1479;65;39;160;94803;4;3,8;1;237;1;0;0;1;0
1487;35;9;141;93022;2;4,5;2;0;1;0;0;0;0
1496;52;28;178;92647;3;5,4;3;147;1;0;0;1;0
1500;52;26;91;92173;1;4,3;2;0;1;0;1;1;1
1505;30;6;191;92028;2;4,4;2;0;1;0;0;1;0
1519;43;17;64;95053;4;3;3;221;1;0;0;1;0
1525;40;16;155;94002;4;0,1;3;0;1;0;1;1;1
1560;59;35;102;92677;4;3;2;115;1;0;0;1;0
1571;41;16;114;94705;4;3,5;1;0;1;0;0;0;1
1578;34;8;65;92093;1;3;1;227;1;0;0;1;0
1580;29;5;122;94305;4;3;1;0;1;0;0;0;1
1583;43;19;170;92037;4;4,25;1;318;1;0;1;1;1
1584;61;36;184;92028;4;2,3;2;342;1;0;1;1;1
1590;57;32;124;90049;1;0,2;2;0;1;0;0;1;0
1593;56;31;192;90089;1;7;3;0;1;0;1;1;0
1604;36;6;138;92152;1;7;3;86;1;0;0;1;0
1605;55;29;111;90502;2;3,6;3;0;1;0;0;0;1
1617;48;23;84;94402;4;3,1;2;0;1;1;1;1;0
1630;53;29;154;93407;4;7,4;3;0;1;0;0;0;0
1632;61;36;153;91105;1;2,6;2;0;1;1;1;0;1
1633;31;5;93;95032;2;3,1;2;0;1;0;0;1;0
1638;30;6;193;94022;3;6,3;3;0;1;0;0;1;0
1642;58;34;152;92182;4;3,6;3;0;1;0;0;0;0
1652;62;36;158;94301;2;6,3;3;0;1;0;0;1;0
1653;48;18;182;92626;4;6;3;0;1;0;0;1;0
1660;33;7;139;95828;1;4;3;106;1;0;1;1;1
1667;51;25;190;95138;2;4,2;2;0;1;0;0;1;0
1673;48;23;173;94546;3;0,2;1;0;1;0;1;1;1
1675;37;11;139;95814;2;0,8;2;421;1;0;0;1;0
1680;57;31;114;94590;4;5,2;1;0;1;1;1;1;0
1732;43;19;125;92122;3;2,4;1;0;1;0;0;1;0
1753;33;8;155;92717;1;7,4;3;0;1;0;0;0;0
1769;43;18;128;92093;4;5,3;1;84;1;0;0;0;0
1785;54;29;119;91355;3;2;1;0;1;1;1;0;0
1790;44;20;171;91330;4;0,7;1;567;1;0;1;1;1
1794;35;9;113;94596;3;0,8;3;0;1;0;0;1;0
1795;56;32;98;91355;3;3,9;3;0;1;0;0;0;0
1799;44;20;185;94086;3;2,7;1;0;1;0;0;1;0
1823;48;23;112;93014;1;5,1;2;86;1;1;1;1;0
1825;49;23;194;94022;4;8,3;2;0;1;0;0;0;1
1826;56;32;161;94720;1;5,8;3;0;1;1;0;0;0
1834;34;9;178;94303;1;0,8;3;0;1;0;0;0;0
1861;30;6;179;91103;3;4,9;1;142;1;0;0;1;0
1871;63;37;110;95032;1;4,1;3;0;1;0;0;0;0
1883;56;32;125;91330;3;0,6;1;342;1;0;1;1;1
1890;56;30;111;93106;4;0,3;1;372;1;1;1;1;0
1913;42;16;191;94304;3;4,8;2;0;1;1;1;1;0
1914;57;33;134;92110;4;0,9;1;198;1;0;0;1;0
1919;39;9;118;93555;2;6;3;246;1;0;1;1;1
1936;34;9;191;94086;1;4,8;3;0;1;0;1;1;1
1938;51;25;181;95051;1;3,3;3;589;1;1;1;1;0
1999;56;32;103;94111;3;4;3;0;1;0;0;0;0
2015;49;19;169;95054;3;5,666666667;3;167;1;0;1;0;1
2102;35;5;203;95032;1;10;3;0;1;0;0;0;0
2110;47;23;178;93014;1;6,5;3;0;1;0;0;0;0
2137;50;26;115;95008;1;1,2;3;0;1;0;0;0;1
2145;33;6;168;94720;3;5,666666667;2;0;1;1;1;1;0
2159;50;25;83;94720;4;3,1;1;0;1;0;0;0;1
2160;61;35;99;94085;1;4,8;3;255;1;0;0;0;1
2179;37;13;158;93943;2;2,3;2;0;1;0;1;1;1
2185;62;36;183;90095;2;3,4;3;0;1;0;0;0;0
2195;34;9;123;94553;1;1,6;2;0;1;0;0;1;0
2197;51;24;189;95211;4;4,75;2;0;1;0;0;1;0
2216;28;3;193;94501;3;4;2;0;1;0;0;1;0
2218;48;24;162;91355;4;3,3;2;446;1;0;1;1;0
2231;36;11;183;94704;1;3;3;0;1;0;1;1;1
2316;52;26;182;95818;2;1,4;2;0;1;0;0;1;0
2318;31;5;129;95814;3;5,9;3;319;1;1;1;0;1
2401;61;36;169;91380;2;6,1;3;106;1;0;1;1;1
2491;52;28;168;90404;3;6,5;3;118;1;0;0;1;0
2512;51;27;92;92121;4;3;1;0;1;0;1;1;1
2591;46;20;152;95814;1;7,4;3;374;1;0;1;1;1
2614;52;26;110;94501;2;5,4;3;204;1;1;1;1;0
2615;35;11;160;92093;4;5,7;3;0;1;1;0;0;0
2715;46;20;158;92870;3;5,4;1;432;1;0;0;0;1
2810;42;16;185;94705;3;2,2;2;0;1;1;1;1;1
2813;53;28;183;96008;3;8,2;3;467;1;0;1;1;1
2911;46;22;102;95039;3;4,5;3;0;1;0;0;1;0
2913;44;20;130;90291;4;3,2;2;0;1;0;0;0;0
2971;54;30;121;95039;2;1,1;3;0;1;1;0;0;0
3001;40;14;164;94720;1;4,3;2;0;1;0;0;0;0
3061;64;38;168;94061;4;5,7;3;0;1;0;0;1;0
3142;57;31;131;90405;3;0,6;1;0;1;0;0;1;0
3143;34;8;175;95051;4;1,1;3;0;1;1;1;1;1
3146;34;10;114;94305;3;3,3;3;0;1;0;0;0;0
3151;47;22;124;90027;4;5;3;0;1;0;0;0;0
3155;27;1;99;94305;1;3;3;149;1;0;0;0;1
3161;41;15;158;94304;1;4,7;2;0;1;1;1;0;1
3210;42;16;173;91355;2;1,5;2;373;1;0;1;1;1
3218;65;39;94;93022;4;4,1;1;120;1;0;1;1;1
3271;50;23;179;94609;4;3,6;2;0;1;0;0;1;0
3319;46;20;105;90089;4;3,2;1;0;1;0;0;0;0
3518;30;6;95;94234;1;3,9;3;146;1;0;0;0;1
3613;50;25;99;90245;1;4,6;1;368;1;1;1;0;1
3614;35;11;148;92672;1;5,8;3;0;1;0;0;1;0
3615;34;10;154;94583;3;5,4;2;0;1;0;0;1;0
3721;63;39;131;92521;3;2,6;3;229;1;0;0;1;0
3891;42;17;139;91101;2;2,9;3;0;1;0;0;1;0
4001;62;37;93;93003;3;3;3;0;1;0;1;1;1
4017;53;28;173;91614;4;2,7;1;427;1;0;0;1;0
4021;58;32;191;93943;4;5,2;3;194;1;0;0;0;1
4125;53;29;141;90064;2;0,2;3;0;1;0;0;0;0
4148;59;35;180;96008;2;6,5;2;0;1;1;1;1;1
4152;44;18;123;95841;3;5,9;1;0;1;0;1;1;1
4155;51;25;163;94305;2;1,3;3;0;1;0;0;1;0
4164;54;28;108;94110;4;1,9;2;0;1;0;0;1;0
4166;63;38;135;91768;2;3,8;3;183;1;0;0;0;0
4168;48;24;144;94025;4;3,5;2;0;1;0;0;0;0
4169;60;34;139;95020;4;0,4;1;0;1;0;0;1;0
4170;41;17;143;90059;2;2,7;3;209;1;0;0;1;0
4176;42;17;154;93955;3;4,9;1;0;1;0;1;1;1
4180;29;3;91;94122;1;3,4;3;0;1;0;0;0;0
4191;40;16;89;95814;3;3,9;2;216;1;1;1;1;0
4217;60;35;173;90059;3;3,1;3;0;1;0;0;1;0
4310;34;8;188;94025;1;2,9;3;0;1;0;0;1;0
4311;65;41;170;94143;4;6,1;2;0;1;0;1;1;1
4415;33;8;178;94720;3;8,5;1;0;1;1;1;1;0
4419;59;34;145;95125;4;1,8;1;198;1;0;0;1;0
4471;44;20;111;91911;2;5,3;2;0;1;0;0;1;0
4481;55;30;145;92037;2;6;3;0;1;0;0;1;0
4591;58;34;151;94022;3;0,6;2;0;1;0;0;0;0
4791;35;11;101;94143;3;3,8;3;150;1;0;0;1;0
4812;36;12;123;90502;2;3;3;0;1;0;0;0;0
4813;29;4;184;92126;4;2,2;3;612;1;0;0;1;0
4981;29;5;135;95762;3;5,3;1;0;1;0;1;1;1
